Location ,Part code,updated_loc,
GF/A/001,SAMPLE RACKS,GF/A/001-A
GF/A/002,SAMPLE RACKS,GF/A/002-A
GF/A/003,SAMPLE RACKS,GF/A/003-A
GF/A/004,SAMPLE RACKS,GF/A/004-A
GF/A/005,100 % INSPECTION LOCATION,GF/A/005-A
GF/A/006,100 % INSPECTION LOCATION,GF/A/006-A
GF/A/007,100 % INSPECTION LOCATION,GF/A/007-A
GF/A/008,100 % INSPECTION LOCATION,GF/A/008-A
GF/A/009,100 % INSPECTION LOCATION,GF/A/009-A
GF/A/010,100 % INSPECTION LOCATION,GF/A/010-A
GF/A/011,100 % INSPECTION LOCATION,GF/A/011-A
GF/A/012,100 % INSPECTION LOCATION,GF/A/012-A
1F/D/205,12000607,1F/D/205-C
1F/D/205,12000608,1F/D/205-D
1F/D/206,12000661,1F/D/206-A
1F/D/206,12000731,1F/D/206-B
1F/D/206,12000732,1F/D/206-C
1F/D/207,12000743,1F/D/207-A
1F/D/207,12000744,1F/D/207-B
1F/D/208,12003806,1F/D/208-A
1F/D/208,12003809,1F/D/208-B
1F/D/209,12003815,1F/D/209-A
1F/D/210,12003904,1F/D/210-A
1F/D/210,12004223,1F/D/210-B
1F/D/210,12004386,1F/D/210-C
1F/D/211,12003817,1F/D/211-A
1F/D/211,12003818,1F/D/211-B
1F/D/212,12003806,1F/D/212-A
1F/D/212,12003809,1F/D/212-B
1F/D/213,12004974,1F/D/213-A
1F/D/214,12006865,1F/D/214-A
1F/D/215,12005688,1F/D/215-A
1F/D/215,12006030,1F/D/215-B
1F/D/216,12005680,1F/D/216-A
1F/D/216,12005681,1F/D/216-B
1F/E/217,12007160,1F/E/217-A
1F/E/218,12007352,1F/E/218-A
1F/E/218,12007354,1F/E/218-B
1F/E/219,12007165,1F/E/219-A
1F/E/220,12007751,1F/E/220-A
1F/E/221,12007355,1F/E/221-A
1F/E/221,12007751,1F/E/221-B
1F/E/222,12008898,1F/E/222-A
1F/E/222,12008950,1F/E/222-B
1F/E/223,12007752,1F/E/223-A
1F/E/224,12007752,1F/E/224-A
1F/E/225,12008981,1F/E/225-A
1F/E/225,12008982,1F/E/225-B
1F/E/225,12008985,1F/E/225-C
1F/E/225,12008986,1F/E/225-D
1F/E/226,12009349,1F/E/226-A
1F/E/227,12009039,1F/E/227-A
1F/E/227,12009311,1F/E/227-B
1F/E/227,12009312,1F/E/227-C
1F/E/227,12009331,1F/E/227-D
1F/E/228,12009020,1F/E/228-A
1F/E/228,12009038,1F/E/228-B
1F/E/228,12009040,1F/E/228-C
1F/E/229,12009372,1F/E/229-A
1F/E/230,12009382,1F/E/230-A
1F/E/230,12009384,1F/E/230-B
1F/E/230,12009385,1F/E/230-C
1F/E/230,12009386,1F/E/230-D
1F/E/231,12009379,1F/E/231-A
1F/E/231,12009380,1F/E/231-B
1F/E/231,12009381,1F/E/231-C
1F/E/232,12009376,1F/E/232-A
1F/E/232,12009377,1F/E/232-B
1F/E/232,12009378,1F/E/232-C
1F/E/233,12009387,1F/E/233-A
1F/E/233,12013602,1F/E/233-B
1F/E/233,12013732,1F/E/233-C
1F/E/233,12013733,1F/E/233-D
1F/E/233,12013734,1F/E/233-E
1F/E/234,12013934,1F/E/234-A
1F/E/234,12014035,1F/E/234-B
1F/E/234,12014070,1F/E/234-C
1F/E/234,12014210,1F/E/234-D
1F/E/235,12013918,1F/E/235-A
1F/E/235,12013920,1F/E/235-B
1F/E/235,12013921,1F/E/235-C
1F/E/235,12013932,1F/E/235-D
1F/E/236,12013601,1F/E/236-A
1F/E/236,12013846,1F/E/236-B
1F/E/236,12013847,1F/E/236-C
1F/E/236,12013848,1F/E/236-D
1F/F/237,12014211,1F/F/237-A
1F/F/237,12014315,1F/F/237-B
1F/F/237,12014320,1F/F/237-C
1F/F/238,12019186,1F/F/238-A
1F/F/238,12019651,1F/F/238-B
1F/F/239,12019938,1F/F/239-A
1F/F/240,12014555,1F/F/240-A
1F/F/240,12020385,1F/F/240-B
1F/F/240,12020386,1F/F/240-C
1F/F/241,12014427,1F/F/241-A
1F/F/241,12015197,1F/F/241-B
1F/F/242,12019939,1F/F/242-A
1F/F/243,12020412,1F/F/243-A
1F/F/244,12020412,1F/F/244-A
1F/F/245,12029411,1F/F/245-A
1F/F/246,12029411,1F/F/246-A
1F/F/247,12022397,1F/F/247-A
1F/F/247,12023831,1F/F/247-B
1F/F/248,12021454,1F/F/248-A
1F/F/248,12022010,1F/F/248-B
1F/F/248,12022394,1F/F/248-C
1F/F/248,12022396,1F/F/248-D
1F/F/249,16000049,1F/F/249-A
1F/F/249,16000050,1F/F/249-B
1F/F/249,16000382,1F/F/249-C
1F/F/250,16000475,1F/F/250-A
1F/F/250,16000477,1F/F/250-B
1F/F/251,16002718,1F/F/251-A
1F/F/251,16002925,1F/F/251-B
1F/F/251,16009198,1F/F/251-C
1F/F/252,12034121,1F/F/252-A
1F/F/252,16000040,1F/F/252-B
1F/F/253,16010618,1F/F/253-A
1F/F/253,16010650,1F/F/253-B
1F/F/253,16010651,1F/F/253-C
1F/F/254,16014027,1F/F/254-A
1F/F/254,16014028,1F/F/254-B
1F/F/255,16023057,1F/F/255-A
1F/F/255,16039844,1F/F/255-B
1F/F/256,16010617,1F/F/256-A
1F/G/257,12000082,1F/G/257-A
1F/G/257,12000088,1F/G/257-B
1F/G/257,12000095,1F/G/257-C
1F/G/258,12027825,1F/G/258-A
1F/G/258,12000006,1F/G/258-B
1F/G/259,12020398,1F/G/259-A
1F/G/260,12000368,1F/G/260-A
1F/G/260,16002717,1F/G/260-B
1F/G/261,12000753,1F/G/261-A
1F/G/261,12019392,1F/G/261-B
1F/G/262,16019312,1F/G/262-A
1F/G/263,12007711,1F/G/263-A
1F/G/263,12000562,1F/G/263-B
1F/G/264,12000463,1F/G/264-A
1F/G/265,12000463,1F/G/265-A
1F/G/266,12024785,1F/G/266-A
1F/G/266,12003816,1F/G/266-B
1F/G/267,14002727,1F/G/267-A
1F/G/267,12004307,1F/G/267-B
1F/G/267,12004309,1F/G/267-C
1F/G/268,12004789,1F/G/268-A
1F/G/269,12005862,1F/G/269-A
1F/G/270,16003478,1F/G/270-A
1F/G/270,12000356,1F/G/270-B
1F/G/271,12013605,1F/G/271-A
1F/G/272,12007151,1F/G/272-A
1F/G/272,12014002,1F/G/272-B
1F/G/272,12014491,1F/G/272-C
1F/G/273,12024988,1F/G/273-A
1F/G/274,12024989,1F/G/274-A
1F/G/275,12000464,1F/G/275-A
1F/G/276,,1F/G/276-A
1F/H/277,15000541,1F/H/277-A
1F/H/277,15000204,1F/H/277-B
1F/H/278,14001821,1F/H/278-A
1F/H/278,14003943,1F/H/278-B
1F/H/279,33000435,1F/H/279-A
1F/H/280,,1F/H/280-A
1F/H/281,14001819,1F/H/281-A
1F/H/282,14001761,1F/H/282-A
1F/H/282,14003340,1F/H/282-B
1F/H/283,12000697,1F/H/283-A
1F/H/284,,1F/H/284-A
1F/H/285,14001064,1F/H/285-A
1F/H/286,14001064,1F/H/286-A
1F/H/287,,1F/H/287-A
1F/H/288,,1F/H/288-A
1F/H/289,14001824,1F/H/289-A
1F/H/290,14001065,1F/H/290-A
1F/H/291,14001465,1F/H/291-A
1F/H/292,12029411,1F/H/292-A
1F/H/293,14001820,1F/H/293-A
1F/H/294,14000938,1F/H/294-A
1F/H/294,14006117,1F/H/294-B
1F/H/295,14001351,1F/H/295-A
1F/H/296,12029411,1F/H/296-A
2F/A/297,12007699,2F/A/297-A
2F/A/297,16003002,2F/A/297-B
2F/A/297,16009145,2F/A/297-C
2F/A/297,12000130,2F/A/297-D
2F/A/298,16003476,2F/A/298-A
2F/A/298,12009401,2F/A/298-B
2F/A/298,12009402,2F/A/298-C
2F/A/298,12009400,2F/A/298-D
2F/A/299,12007697,2F/A/299-A
2F/A/299,16010491,2F/A/299-B
2F/A/299,14002370,2F/A/299-C
2F/A/299,14003182,2F/A/299-D
2F/A/300,16003685,2F/A/300-A
2F/A/300,16000541,2F/A/300-B
2F/A/300,16000542,2F/A/300-C
2F/A/300,16000544,2F/A/300-D
2F/A/301,12009536,2F/A/301-A
2F/A/302,12009539,2F/A/302-A
2F/A/303,12013604,2F/A/303-A
2F/A/304,12012912,2F/A/304-A
2F/A/304,12009537,2F/A/304-B
2F/A/304,16010490,2F/A/304-C
2F/A/304,12021412,2F/A/304-D
2F/A/305,12004385,2F/A/305-A
2F/A/306,12021453,2F/A/306-A
2F/A/307,12004385,2F/A/307-A
2F/A/308,12004333,2F/A/308-A
2F/A/308,12009399,2F/A/308-B
2F/A/308,16015262,2F/A/308-C
2F/A/308,12021411,2F/A/308-D
2F/B/309,12019800,2F/B/309-A
2F/B/309,12021243,2F/B/309-B
2F/B/309,12024781,2F/B/309-C
2F/B/309,12005863,2F/B/309-D
2F/B/310,16010614,2F/B/310-A
2F/B/310,16010570,2F/B/310-B
2F/B/310,12019049,2F/B/310-C
2F/B/311,12013552,2F/B/311-A
2F/B/311,12013553,2F/B/311-B
2F/B/311,16009994,2F/B/311-C
2F/B/311,16010487,2F/B/311-D
2F/B/312,12020393,2F/B/312-A
2F/B/313,16003007,2F/B/313-A
2F/B/314,16019314,2F/B/314-A
2F/B/315,16010359,2F/B/315-A
2F/B/316,12015137,2F/B/316-A
2F/B/316,12015138,2F/B/316-B
2F/B/316,12015139,2F/B/316-C
2F/B/316,12015140,2F/B/316-D
2F/B/316,12015141,2F/B/316-E
2F/B/317,12019016,2F/B/317-A
